,Location,Records,Date Range,Avg Temperature (°C),Avg Humidity (%),Total Precipitation (mm),Avg Wind Speed (km/h)
0,San Diego,99774,2024-01-01 to 2024-05-18,14.933538709596471,60.0720742591027,499527.82454501814,15.037633062690066
1,Philadelphia,100122,2024-01-01 to 2024-05-18,15.035891898863449,60.04490179973953,501467.09606505465,14.990662875754575
2,San Antonio,99962,2024-01-01 to 2024-05-18,15.027760596677577,59.93279843637158,500618.8155481809,14.956578923965534
3,San Jose,99863,2024-01-01 to 2024-05-18,14.956107953677252,59.98662993606084,498056.5658315032,14.971368507043167
4,New York,99972,2024-01-01 to 2024-05-18,15.013389431407813,60.04468750127573,499165.84750900394,14.989397750499155
5,Houston,100076,2024-01-01 to 2024-05-18,14.942985042361997,59.96759781279587,500155.54187103454,14.989935004712327
6,Dallas,99936,2024-01-01 to 2024-05-18,15.00909700720192,59.95989957750124,499430.92680093134,15.022001476205846
7,Chicago,100164,2024-01-01 to 2024-05-18,15.009207643653708,60.08879764537094,501136.92549968715,14.999500905388588
8,Los Angeles,99922,2024-01-01 to 2024-05-18,15.08106274908064,60.07215055449289,500058.7705533812,15.035120312286246
9,Phoenix,100209,2024-01-01 to 2024-05-18,12.792479413115554,60.04864274658562,610020.811752564,14.983903806245186
